dim_time_key,time_hhmm,time_hh_24,time_hh,time_am_pm
170847,1708,17,5,pm
170848,1708,17,5,pm
170849,1708,17,5,pm
170850,1708,17,5,pm
170851,1708,17,5,pm
170852,1708,17,5,pm
170853,1708,17,5,pm
170854,1708,17,5,pm
170855,1708,17,5,pm
170856,1708,17,5,pm
170857,1708,17,5,pm
170858,1708,17,5,pm
170859,1708,17,5,pm
170900,1709,17,5,pm
170901,1709,17,5,pm
170902,1709,17,5,pm
170903,1709,17,5,pm
170904,1709,17,5,pm
170905,1709,17,5,pm
170906,1709,17,5,pm
170907,1709,17,5,pm
170908,1709,17,5,pm
170909,1709,17,5,pm
170910,1709,17,5,pm
170911,1709,17,5,pm
170912,1709,17,5,pm
170913,1709,17,5,pm
170914,1709,17,5,pm
170915,1709,17,5,pm
170916,1709,17,5,pm
170917,1709,17,5,pm
170918,1709,17,5,pm
170919,1709,17,5,pm
170920,1709,17,5,pm
170921,1709,17,5,pm
170922,1709,17,5,pm
170923,1709,17,5,pm
170924,1709,17,5,pm
170925,1709,17,5,pm
170926,1709,17,5,pm
170927,1709,17,5,pm
170928,1709,17,5,pm
170929,1709,17,5,pm
170930,1709,17,5,pm
170931,1709,17,5,pm
170932,1709,17,5,pm
170933,1709,17,5,pm
170934,1709,17,5,pm
170935,1709,17,5,pm
170936,1709,17,5,pm
170937,1709,17,5,pm
170938,1709,17,5,pm
170939,1709,17,5,pm
170940,1709,17,5,pm
170941,1709,17,5,pm
170942,1709,17,5,pm
170943,1709,17,5,pm
170944,1709,17,5,pm
170945,1709,17,5,pm
170946,1709,17,5,pm
170947,1709,17,5,pm
170948,1709,17,5,pm
170949,1709,17,5,pm
170950,1709,17,5,pm
170951,1709,17,5,pm
170952,1709,17,5,pm
170953,1709,17,5,pm
170954,1709,17,5,pm
170955,1709,17,5,pm
170956,1709,17,5,pm
170957,1709,17,5,pm
170958,1709,17,5,pm
170959,1709,17,5,pm
171000,1710,17,5,pm
171001,1710,17,5,pm
171002,1710,17,5,pm
171003,1710,17,5,pm
171004,1710,17,5,pm
171005,1710,17,5,pm
171006,1710,17,5,pm
171007,1710,17,5,pm
171008,1710,17,5,pm
171009,1710,17,5,pm
171010,1710,17,5,pm
171011,1710,17,5,pm
171012,1710,17,5,pm
171013,1710,17,5,pm
171014,1710,17,5,pm
171015,1710,17,5,pm
171016,1710,17,5,pm
171017,1710,17,5,pm
171018,1710,17,5,pm
171019,1710,17,5,pm
171020,1710,17,5,pm
171021,1710,17,5,pm
171022,1710,17,5,pm
171023,1710,17,5,pm
171024,1710,17,5,pm
171025,1710,17,5,pm
171026,1710,17,5,pm
171027,1710,17,5,pm
171028,1710,17,5,pm
171029,1710,17,5,pm
171030,1710,17,5,pm
171031,1710,17,5,pm
171032,1710,17,5,pm
171033,1710,17,5,pm
171034,1710,17,5,pm
171035,1710,17,5,pm
171036,1710,17,5,pm
171037,1710,17,5,pm
171038,1710,17,5,pm
171039,1710,17,5,pm
171040,1710,17,5,pm
171041,1710,17,5,pm
171042,1710,17,5,pm
171043,1710,17,5,pm
171044,1710,17,5,pm
171045,1710,17,5,pm
171046,1710,17,5,pm
171047,1710,17,5,pm
171048,1710,17,5,pm
171049,1710,17,5,pm
171050,1710,17,5,pm
171051,1710,17,5,pm
171052,1710,17,5,pm
171053,1710,17,5,pm
171054,1710,17,5,pm
171055,1710,17,5,pm
171056,1710,17,5,pm
171057,1710,17,5,pm
171058,1710,17,5,pm
171059,1710,17,5,pm
171100,1711,17,5,pm
171101,1711,17,5,pm
171102,1711,17,5,pm
171103,1711,17,5,pm
171104,1711,17,5,pm
171105,1711,17,5,pm
171106,1711,17,5,pm
171107,1711,17,5,pm
171108,1711,17,5,pm
171109,1711,17,5,pm
171110,1711,17,5,pm
171111,1711,17,5,pm
171112,1711,17,5,pm
171113,1711,17,5,pm
171114,1711,17,5,pm
171115,1711,17,5,pm
171116,1711,17,5,pm
171117,1711,17,5,pm
171118,1711,17,5,pm
171119,1711,17,5,pm
171120,1711,17,5,pm
171121,1711,17,5,pm
171122,1711,17,5,pm
171123,1711,17,5,pm
171124,1711,17,5,pm
171125,1711,17,5,pm
171126,1711,17,5,pm
171127,1711,17,5,pm
171128,1711,17,5,pm
171129,1711,17,5,pm
171130,1711,17,5,pm
171131,1711,17,5,pm
171132,1711,17,5,pm
171133,1711,17,5,pm
171134,1711,17,5,pm
171135,1711,17,5,pm
171136,1711,17,5,pm
171137,1711,17,5,pm
171138,1711,17,5,pm
171139,1711,17,5,pm
171140,1711,17,5,pm
171141,1711,17,5,pm
171142,1711,17,5,pm
171143,1711,17,5,pm
171144,1711,17,5,pm
171145,1711,17,5,pm
171146,1711,17,5,pm
171147,1711,17,5,pm
171148,1711,17,5,pm
171149,1711,17,5,pm
171150,1711,17,5,pm
171151,1711,17,5,pm
171152,1711,17,5,pm
171153,1711,17,5,pm
171154,1711,17,5,pm
171155,1711,17,5,pm
171156,1711,17,5,pm
171157,1711,17,5,pm
171158,1711,17,5,pm
171159,1711,17,5,pm
171200,1712,17,5,pm
171201,1712,17,5,pm
171202,1712,17,5,pm
171203,1712,17,5,pm
171204,1712,17,5,pm
171205,1712,17,5,pm
171206,1712,17,5,pm
171207,1712,17,5,pm
171208,1712,17,5,pm
171209,1712,17,5,pm
171210,1712,17,5,pm
171211,1712,17,5,pm
171212,1712,17,5,pm
171213,1712,17,5,pm
171214,1712,17,5,pm
171215,1712,17,5,pm
171216,1712,17,5,pm
171217,1712,17,5,pm
171218,1712,17,5,pm
171219,1712,17,5,pm
171220,1712,17,5,pm
171221,1712,17,5,pm
171222,1712,17,5,pm
171223,1712,17,5,pm
171224,1712,17,5,pm
171225,1712,17,5,pm
171226,1712,17,5,pm
171227,1712,17,5,pm
171228,1712,17,5,pm
171229,1712,17,5,pm
171230,1712,17,5,pm
171231,1712,17,5,pm
171232,1712,17,5,pm
171233,1712,17,5,pm
171234,1712,17,5,pm
171235,1712,17,5,pm
171236,1712,17,5,pm
171237,1712,17,5,pm
171238,1712,17,5,pm
171239,1712,17,5,pm
171240,1712,17,5,pm
171241,1712,17,5,pm
171242,1712,17,5,pm
171243,1712,17,5,pm
171244,1712,17,5,pm
171245,1712,17,5,pm
171246,1712,17,5,pm
171247,1712,17,5,pm
171248,1712,17,5,pm
171249,1712,17,5,pm
171250,1712,17,5,pm
171251,1712,17,5,pm
171252,1712,17,5,pm
171253,1712,17,5,pm
171254,1712,17,5,pm
171255,1712,17,5,pm
171256,1712,17,5,pm
171257,1712,17,5,pm
171258,1712,17,5,pm
171259,1712,17,5,pm
171300,1713,17,5,pm
171301,1713,17,5,pm
171302,1713,17,5,pm
171303,1713,17,5,pm
171304,1713,17,5,pm
171305,1713,17,5,pm
171306,1713,17,5,pm
171307,1713,17,5,pm
171308,1713,17,5,pm
171309,1713,17,5,pm
171310,1713,17,5,pm
171311,1713,17,5,pm
171312,1713,17,5,pm
171313,1713,17,5,pm
171314,1713,17,5,pm
171315,1713,17,5,pm
171316,1713,17,5,pm
171317,1713,17,5,pm
171318,1713,17,5,pm
171319,1713,17,5,pm
171320,1713,17,5,pm
171321,1713,17,5,pm
171322,1713,17,5,pm
171323,1713,17,5,pm
171324,1713,17,5,pm
171325,1713,17,5,pm
171326,1713,17,5,pm
171327,1713,17,5,pm
171328,1713,17,5,pm
171329,1713,17,5,pm
171330,1713,17,5,pm
171331,1713,17,5,pm
171332,1713,17,5,pm
171333,1713,17,5,pm
171334,1713,17,5,pm
171335,1713,17,5,pm
171336,1713,17,5,pm
171337,1713,17,5,pm
171338,1713,17,5,pm
171339,1713,17,5,pm
171340,1713,17,5,pm
171341,1713,17,5,pm
171342,1713,17,5,pm
171343,1713,17,5,pm
171344,1713,17,5,pm
171345,1713,17,5,pm
171346,1713,17,5,pm
171347,1713,17,5,pm
171348,1713,17,5,pm
171349,1713,17,5,pm
171350,1713,17,5,pm
171351,1713,17,5,pm
171352,1713,17,5,pm
171353,1713,17,5,pm
171354,1713,17,5,pm
171355,1713,17,5,pm
171356,1713,17,5,pm
171357,1713,17,5,pm
171358,1713,17,5,pm
171359,1713,17,5,pm
171400,1714,17,5,pm
171401,1714,17,5,pm
171402,1714,17,5,pm
171403,1714,17,5,pm
171404,1714,17,5,pm
171405,1714,17,5,pm
171406,1714,17,5,pm
171407,1714,17,5,pm
171408,1714,17,5,pm
171409,1714,17,5,pm
171410,1714,17,5,pm
171411,1714,17,5,pm
171412,1714,17,5,pm
171413,1714,17,5,pm
171414,1714,17,5,pm
171415,1714,17,5,pm
171416,1714,17,5,pm
171417,1714,17,5,pm
171418,1714,17,5,pm
171419,1714,17,5,pm
171420,1714,17,5,pm
171421,1714,17,5,pm
171422,1714,17,5,pm
171423,1714,17,5,pm
171424,1714,17,5,pm
171425,1714,17,5,pm
171426,1714,17,5,pm
171427,1714,17,5,pm
171428,1714,17,5,pm
171429,1714,17,5,pm
171430,1714,17,5,pm
171431,1714,17,5,pm
171432,1714,17,5,pm
171433,1714,17,5,pm
171434,1714,17,5,pm
171435,1714,17,5,pm
171436,1714,17,5,pm
171437,1714,17,5,pm
171438,1714,17,5,pm
171439,1714,17,5,pm
171440,1714,17,5,pm
171441,1714,17,5,pm
171442,1714,17,5,pm
171443,1714,17,5,pm
171444,1714,17,5,pm
171445,1714,17,5,pm
171446,1714,17,5,pm
171447,1714,17,5,pm
171448,1714,17,5,pm
171449,1714,17,5,pm
171450,1714,17,5,pm
171451,1714,17,5,pm
171452,1714,17,5,pm
171453,1714,17,5,pm
171454,1714,17,5,pm
171455,1714,17,5,pm
171456,1714,17,5,pm
171457,1714,17,5,pm
171458,1714,17,5,pm
171459,1714,17,5,pm
171500,1715,17,5,pm
171501,1715,17,5,pm
171502,1715,17,5,pm
171503,1715,17,5,pm
171504,1715,17,5,pm
171505,1715,17,5,pm
171506,1715,17,5,pm
171507,1715,17,5,pm
171508,1715,17,5,pm
171509,1715,17,5,pm
171510,1715,17,5,pm
